"","RIVER","MILE","SPECIES","LENGTH","WEIGHT","DDT"
"112","TR",320,"SMBUFFALO",46,1524,10
"113","TR",320,"SMBUFFALO",46,1473,44
"114","TR",320,"SMBUFFALO",32.5,520,0.43
"115","TR",325,"CCATFISH",46,863,1100
"116","TR",325,"CCATFISH",40,549,9.4
"117","TR",325,"CCATFISH",43.5,810,4.1
"118","TR",325,"CCATFISH",46.5,908,2.8
"119","TR",325,"CCATFISH",43,804,0.74
"120","TR",325,"CCATFISH",47.5,1179,14
"121","TR",330,"CCATFISH",32,556,22
"122","TR",330,"CCATFISH",40.5,659,9.1
"123","TR",330,"CCATFISH",51.5,1229,140
"124","TR",330,"CCATFISH",48,1050,4.2
"125","TR",330,"CCATFISH",47,952,12
"126","TR",330,"CCATFISH",41,826,2
"127","TR",330,"SMBUFFALO",33.5,599,0.3
"128","TR",330,"SMBUFFALO",47,1704,1.2
"129","TR",340,"CCATFISH",50,1207,7.1
"130","TR",340,"CCATFISH",45,911,180
"131","TR",340,"CCATFISH",49,1498,1.5
"132","TR",340,"CCATFISH",49.5,1496,2.4
"133","TR",340,"CCATFISH",50,1142,4.3
"134","TR",340,"CCATFISH",45,879,3.9
"135","TR",340,"SMBUFFALO",32.5,525,0.99
"136","TR",340,"SMBUFFALO",38,806,0.45
"137","TR",340,"SMBUFFALO",38.5,694,2.5
"138","TR",340,"SMBUFFALO",36,643,0.25
"139","TR",345,"LMBASS",26.5,514,0.58
"140","TR",345,"LMBASS",23.5,358,2
"141","TR",345,"LMBASS",30,856,2.2
"142","TR",345,"LMBASS",29,793,7.4
"143","TR",345,"LMBASS",17.5,173,0.35
"144","TR",345,"LMBASS",36,1433,1.9
